,folder,file,size(kB),height,width,ratio,parallax,include
111,prensa,levante_24_may_1991.jpg,1036.393,2924,3000,1.02599179206566,,1
154,obras,vv.jpg,1235.242,2862,3000,1.0482180293501,yes,
106,prensa,noticia.jpg,1700.672,2834,3000,1.05857445306987,,1
160,obras,torres_1.jpg,1363.657,2639,3000,1.13679424024252,yes,1
120,obras,portocarrero.jpg,978.541,2545,3000,1.17878192534381,,1
75,prensa,cal_dir_1_15_sep_1978.jpg,632.937,2520,3000,1.19047619047619,,1
89,prensa,cal_dir_2_solidaridad_con_el_pueblo_chileno_15_sep_1978.jpg,590.581,2434,3000,1.23253903040263,,
91,prensa,levante_10_sep_1978.jpg,931.345,2335,3000,1.2847965738758,,1
52,fotos,img_3268.jpg,801.298,2289,3000,1.31061598951507,yes,
109,prensa,estocolmo_portada_revista_pintura_stop_copa_davis_1978.jpg,911.328,3000,2266,0.755333333333333,,1
86,prensa,estocolmo_pagina_4_revista_obras_suecas_mirsa_1978.jpg,832.278,3000,2250,0.75,,1
115,grafica,ficha_2.jpg,759.972,3000,2233,0.744333333333333,,
5,fotos,img_3276.jpg,926.727,2223,3000,1.34952766531714,,1
21,fotos,img_3279.jpg,805.78,2208,3000,1.35869565217391,,1
59,cartel,cartel_bcn.jpg,1028.942,3000,2199,0.733,,1
96,prensa,el_temps_regreso_obras_a_chile_2_1991.jpg,789.292,3000,2195,0.731666666666667,,1
87,prensa,el_temps_regreso_obras_a_chile_1_1991.jpg,827.743,3000,2193,0.731,,1
116,grafica,portada_diptico_expo_colegio_de_arquitectos_de_canarias_1978.jpg,835.125,2188,3000,1.37111517367459,,
60,cartel,cartel_valencia_1978.jpg,779.942,3000,2162,0.720666666666667,,1
66,cartel,mirsa.jpg,504.287,3000,2162,0.720666666666667,,1
19,fotos,img_3269.jpg,760.615,2155,3000,1.39211136890951,,1
92,prensa,cal_dir_4_22_sep_1978.jpg,889.95,3000,2142,0.714,,
16,fotos,img_3267.jpg,672.708,2133,3000,1.40646976090014,,1
55,cartel,cartel_francia.jpg,777.623,3000,2128,0.709333333333333,,1
15,fotos,diapo_suecia_2.jpg,907.783,3000,2127,0.709,,
63,cartel,cartel_mayo_1972_museo_de_la_solidaridad_b&n.jpg,940.555,3000,2120,0.706666666666667,,1
51,fotos,img_3270.jpg,714.381,2116,3000,1.41776937618147,yes,
61,cartel,musee_allende_suede.jpg,1031.704,3000,2110,0.703333333333333,,1
62,cartel,cartel_nancy.jpg,596.95,3000,2102,0.700666666666667,,1
31,fotos,img_3281.jpg,787.531,2092,3000,1.434034416826,,1
47,fotos,img_3278.jpg,713.023,2083,3000,1.4402304368699,,1
105,prensa,unesco_cuba_mirsa_2_1977.jpg,949.584,3000,2074,0.691333333333333,,1
132,obras,guerrero.jpg,509.423,2894,2142,0.74015203870076,,1
72,cartel,cartel_helsinski.jpg,674.425,3000,2066,0.688666666666667,,1
162,obras,jose_guerrero.jpg,648.266,2054,3000,1.46056475170399,,
69,cartel,cartel_expo_nanterre.jpg,547.403,3000,2047,0.682333333333333,,1
71,cartel,portada_catalogo_expo_1978.jpg,705.494,3000,2034,0.678,,1
161,obras,img_2350.jpg,624.387,2000,3000,1.5,,
157,obras,img_2349.jpg,498.395,2000,3000,1.5,,
152,obras,img_2348.jpg,639.329,2000,3000,1.5,,
141,obras,img_2351.jpg,562.433,2000,3000,1.5,,
